W	W40X324	W40X324	F	324	95.3	40.2	0	0	15.9	0	0	1	1.81	0	0	0	2.99	3.0625	0	0	0	0	0	4.4	0	34.2	0	0	55.1	2720	3050	25600	1460	1280	16.4	1220	239	153	3.58	0	79.4	449000	0	153	1100	259	719	0	0	0	0	W1000X483	W1000X483	4.73	61500	1020	0	0	404	0	0	25.4	46	0	0	0	76	78	0	0	0	0	0	4.4	0	34.2	0	0	380	18800	63.9	10700	23900	20900	417	507	3920	2510	90.8	0	33000	120000	0	98400	457	4240	11800	0	0	0	0
W	W40X297	W40X297	F	297	87.4	39.8	0	0	15.8	0	0	0.93	1.65	0	0	0	2.83	2.9375	0	0	0	0	0	4.8	0	36.8	0	0	47.7	2500	4250	23200	1330	1170	16.3	1090	215	138	3.54	0	61.2	397000	0	151	986	235	654	0	0	0	0	W1000X443	W1000X443	4.33	56400	1012	0	0	402	0	0	23.6	41.9	0	0	0	71.9	74	0	0	0	0	0	4.8	0	36.8	0	0	329	17300	88.6	9670	21800	19100	414	455	3530	2260	89.8	0	25500	107000	0	97500	411	3850	10700	0	0	0	0
W	W40X277	W40X277	F	277	81.4	39.7	0	0	15.8	0	0	0.83	1.58	0	0	0	2.76	2.875	0	0	0	0	0	5.03	0	41.2	0	0	38	2360	5280	21900	1250	1100	16.4	1040	204	132	3.58	0	51.5	378000	0	151	940	225	614	0	0	0	0	W1000X412	W1000X412	4.04	52500	1008	0	0	402	0	0	21.1	40	0	0	0	70	72	0	0	0	0	0	5.03	0	41.2	0	0	262	16200	113	9110	20500	18100	416	434	3350	2160	91	0	21400	102000	0	97300	391	3690	10100	0	0	0	0
W	W40X249	W40X249	F	249	73.3	39.4	0	0	15.8	0	0	0.75	1.42	0	0	0	2.6	2.6875	0	0	0	0	0	5.55	0	45.6	0	0	31	2130	7800	19600	1120	993	16.3	926	182	118	3.55	0	38.1	334000	0	149	836	202	550	0	0	0	0	W1000X371	W1000X371	3.63	47300	1000	0	0	400	0	0	19.1	36.1	0	0	0	66.1	68	0	0	0	0	0	5.55	0	45.6	0	0	214	14700	164	8140	18400	16300	415	386	2980	1930	90.3	0	15900	89700	0	96400	348	3310	9010	0	0	0	0
W	W40X215	W40X215	F	215	63.4	39	0	0	15.8	0	0	0.65	1.22	0	0	0	2.4	2.5	0	0	0	0	0	6.45	0	52.6	0	0	23.3	1850	13600	16700	964	859	16.2	796	156	101	3.54	0	24.8	284000	0	149	714	174	471	0	0	0	0	W1000X321	W1000X321	3.14	40900	990	0	0	400	0	0	16.5	31	0	0	0	61	63	0	0	0	0	0	6.45	0	52.6	0	0	161	12700	289	6970	15800	14100	413	331	2550	1660	90	0	10300	76100	0	95900	297	2850	7720	0	0	0	0
W	W40X199	W40X199	F	199	58.5	38.7	0	0	15.8	0	0	0.65	1.07	0	0	0	2.25	2.3125	0	0	0	0	0	7.39	0	52.6	0	0	23.3	1700	20000	14900	869	770	16	695	137	88.2	3.45	0	18.3	246000	0	148	621	151	424	0	0	0	0	W1000X296	W1000X296	2.9	37700	982	0	0	400	0	0	16.5	27.1	0	0	0	57	59	0	0	0	0	0	7.39	0	52.6	0	0	161	11700	420	6200	14200	12600	405	289	2240	1450	87.5	0	7610	65900	0	95500	258	2480	6950	0	0	0	0
W	W40X392	W40X392	T	392	115	41.6	0	0	12.4	0	0	1.42	2.52	0	0	0	3.7	3.8125	0	0	0	0	0	2.45	0	24.1	0	0	0	3910	852	29900	1710	1440	16.1	803	212	130	2.64	0	172	306000	0	121	940	269	845	0	0	0	0	W1000X584	W1000X584	5.72	74400	1056	0	0	314	0	0	36.1	64	0	0	0	94	96	0	0	0	0	0	2.45	0	24.1	0	0	0	27000	17.9	12500	28000	23600	409	334	3480	2130	67	0	71600	82100	0	77800	391	4410	13800	0	0	0	0
W	W40X331	W40X331	F	331	97.5	40.8	0	0	12.2	0	0	1.22	2.13	0	0	0	3.31	3.375	0	0	0	0	0	2.86	0	28	0	0	0	3360	1550	24700	1430	1210	15.9	644	172	106	2.57	0	106	241000	0	118	760	225	704	0	0	0	0	W1000X494	W1000X494	4.83	62900	1036	0	0	309	0	0	31	54	0	0	0	84	86	0	0	0	0	0	2.86	0	28	0	0	0	23200	32.9	10300	23400	19800	404	268	2820	1740	65.3	0	43900	64600	0	75900	316	3690	11500	0	0	0	0
W	W40X327	W40X327	F	327	96	40.8	0	0	12.1	0	0	1.18	2.13	0	0	0	3.31	3.375	0	0	0	0	0	2.85	0	29	0	0	0	3320	1620	24500	1410	1200	16	640	170	105	2.58	0	103	239000	0	117	757	225	696	0	0	0	0	W1000X486	W1000X486	4.77	61900	1036	0	0	308	0	0	30	54.1	0	0	0	84.1	86	0	0	0	0	0	2.85	0	29	0	0	0	22800	34.1	10200	23200	19700	406	266	2790	1730	65.6	0	42900	64100	0	75600	315	3690	11400	0	0	0	0
W	W40X278	W40X278	F	278	81.8	40.2	0	0	12	0	0	1.02	1.81	0	0	0	2.99	3.0625	0	0	0	0	0	3.31	0	33.5	0	0	57.3	2860	2910	20500	1190	1020	15.8	521	140	87.1	2.52	0	64.7	192000	0	115	622	190	586	0	0	0	0	W1000X415	W1000X415	4.06	52800	1020	0	0	304	0	0	25.9	46	0	0	0	76	78	0	0	0	0	0	3.31	0	33.5	0	0	395	19700	61.4	8520	19500	16700	402	217	2300	1430	64.1	0	26900	51500	0	74000	259	3110	9600	0	0	0	0
